file_name,line_number,exception,data
files/vial_audit/AuditTrail0_20180206_153528_SPAMI-PC.1.csv,2,unconverted data remains:  PM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/6/2018 4:35:28 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V20.LKD - 0' Build 378, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', '4zsCWn')])"
files/vial_audit/AuditTrail0_20180206_153528_SPAMI-PC.1.csv,3,unconverted data remains:  PM,"OrderedDict([('record_id', '59440'), ('time_stamp', '2/6/2018 4:35:28 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', '3Q/RlW')])"
files/vial_audit/AuditTrail0_20180206_153528_SPAMI-PC.1.csv,4,unconverted data remains:  PM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/6/2018 4:35:28 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'hO2Kcj')])"
files/vial_audit/AuditTrail0_20180201_073208_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x0e\x0f\x11\x10\x0f\x10\x12\x0f\x11\x13\x16\x16\x17\x14\x14\x12\x11\x12\x0f\x11\x10\x0f\x0e\x10\x10\x0f\x0f\x0f'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180206_110111_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0b\x0c\x0c'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180202_095645_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0f\x10\x11\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180111_093029_SPAMI-PC.csv,ALL,'utf-8' codec can't decode byte 0x81 in position 1509: invalid start byte,
files/vial_audit/AuditTrail0_20180131_150608_SPAMI-PC.csv,ALL,'utf-8' codec can't decode byte 0x82 in position 383: invalid start byte,
files/vial_audit/AuditTrail0_20180205_071630_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x11\x11\x12\x10\x11\x11\x10\x0f\x0f\x0f\x0e\x0c'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180201_073208_SPAMI-PC.1.csv,2,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/1/2018 8:32:08 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V17.LKD - 0' Build 313, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', 'lWLg/D')])"
